状态,简介,page_existence,地点,子行业,网址,TAG,时间,阶段,行业,id,公司
运营中,115APP（115爱普）是一个手机应用、游戏下载、安装、攻略服务网站，提供渠道服务，北京畅意无限科技有限公司旗下产品。,True,北京,应用分发和渠道,http://www.115app.com,,2013年12月,初创期,移动互联网,9041,北京畅意无限科技有限公司
运营中,六健康网通过SNS的方式为广大用户搭建一个患者与医生、医生与医生、医生与医院之间的沟通互动平台，成为大家身边的健康顾问。,True,北京,医疗综合服务,http://www.6jk.com/,垂直社区,2013年10月,初创期,医疗健康,9042,北京康华互联广告有限公司
运营中,深圳泰瑞谷科技有限公司是一家汽车电子设备研发生产、销售服务商，产品和服务包括汽车电子通讯解码、汽车总线、车主应用、行业应用开发等，主打欧洲、北美和东南亚地区。,True,广东,车联网及硬件,http://www.autophix.com,,2010年11月,成长发展期,汽车交通,9043,深圳市泰瑞谷科技有限公司
运营中,WeMaker是一个专注于创客、智能硬件、可穿戴设备的科技媒体，为创客及希望成为创客的人群服务，内容涵盖DIY实验教程、智能硬件产品、产业最新动态等。,True,北京,综合硬件,http://wemaker.cc,可穿戴设备,2014年1月,初创期,硬件,9044,
运营中,美澳居是一个主打海外房产的电子商务平台，为购房者提供专业全面的市场分析，协助客户完成投资决策和购房手续；并为众多海外房产机构开辟专业的网上商城。北京美澳居商务有限公司旗下网站。,True,北京,房产金融,http://meiaoju.com/,众筹,2014年2月,初创期,房产服务,9045,北京美澳居商务有限公司
运营中,北京递兴泊互联科技是一家自助快递存储系统（AEM）研发商，为本地消费者提供直购、寄存转交、本地服务（商务）信息、配送等服务。,True,北京,快递物流,http://www.dixingbo.com,,2012年10月,初创期,电子商务,9046,北京递兴泊互联科技有限公司
运营中,藌柚(厦门)软件科技有限公司是香港蜜柚控股有限公司旗下控股的一家游戏公司，在2012年获得天使投资，公司总部在厦门注册成立，在郑州和蒙特利尔分别设有分支机构。 致力于成为移动娱乐行业最具特色的游戏及软件开发公司。,True,河南,手机游戏,http://www.meyougames.com,大公司新产品,2013年3月,初创期,游戏,9047,藌柚(厦门)软件科技有限公司
运营中,壹课网，中小学1对1在线辅导和知识平台，是全国范围内提供优质教育教学资源的在线教育服务机构。,True,北京,K12教育,http://www.1kewang.com/,,2013年12月,初创期,教育,9048,北京华一途优教育科技有限公司
运营中,豆豆魔方是一个家庭教育产品服务商，针对3-8岁孩子，按月购买并免费快递到您家，盒子里装有特定主题的创意方案和动手素材，这些主题会涉及孩子所感兴趣的所有方面，包括人文、自然、科学和工艺等。,True,上海,儿童早教,http://www.doudoucube.com,定期订购,2012年1月,初创期,教育,9049,上海百豆文化传播有限公司
运营中,云草稿是一个基于微信的应用，用户可以通过云草稿管理微信文章发布、分享等内容。,True,北京,实用工具,http://www.yuncaogao.com,微信平台,2014年3月,初创期,工具软件,9050,
运营中,Avazu艾维邑动是一家网络广告及数字营销服务商，专注于全球化的PC和移动互联网广告投放，尤其致力于为中国公司提供海外推广和营销服务，支持实时竞价、需求方平台等服务。,True,上海,整合营销传播,http://www.avazu.cn,DSP,2009年1月,成长发展期,广告营销,9051,上海威奔广告有限公司
运营中,魔钛网络成立于2013年，是一家手机游戏开发商，团队成员曾参与开发过多款欧美iOS动作、射击类游戏，也均为资深玩家。“我们想要开发的是连我们自己都喜欢玩的游戏。”,True,江苏,手机游戏,http://www.monstecgame.com,,2013年3月,初创期,游戏,9052,无锡市魔钛网络科技有限公司
运营中,海玩网是一家主打海外目的地的旅游活动和线路预订平台，专注于为旅行者打造境外当地深度体验，北京洋景科技有限公司旗下网站。,True,北京,出境游,http://www.haiwan.com,O2O,2013年11月,成长发展期,旅游,9053,北京洋景科技有限公司
运营中,海玩网是一家主打海外目的地的旅游活动和线路预订平台，专注于为旅行者打造境外当地深度体验，北京洋景科技有限公司旗下网站。,False,北京,出境游,http://www.haiwan.com,O2O,2013年11月,成长发展期,旅游,9054,北京洋景科技有限公司
运营中,Mad Head Limited 是一家来自香港的手机游戏开发商，产品有《神魔之塔》（Tower of Saviors）等。,True,香港,手机游戏,http://www.madheadapp.com/,,2013年1月,初创期,游戏,9055,Mad Head Limited
运营中,Bkrtrip佰客旅游网是一个旅游产品、线路超市，提供旅游线路预订服务，隶属于陕西佰客易游网络科技有限公司。,True,陕西,旅游综合服务,http://www.bkrtrip.cn/,,2014年1月,初创期,旅游,9056,陕西佰客易游网络科技有限公司
运营中,一路财富是一家主打“金融精品超市”模式的互联网金融服务商，为用户找寻和匹配适合的理财产品，一路财富（北京）信息科技有限公司旗下。,True,北京,理财,http://www.yilucaifu.com,金融超市,2013年5月,初创期,金融,9057,一路财富（北京）信息科技有限公司
运营中,一路财富是一家主打“金融精品超市”模式的互联网金融服务商，为用户找寻和匹配适合的理财产品，一路财富（北京）信息科技有限公司旗下。,False,北京,理财,http://www.yilucaifu.com,金融超市,2013年5月,初创期,金融,9058,一路财富（北京）信息科技有限公司
运营中,加丁科技是一家专注于母婴健康领域的智能设备和云服务提供商，主打用科技让孕育更安心，旗下产品有LISA孕表、TONY跑步表等。,True,北京,医疗健康硬件,http://www.addinghome.com,,2013年7月,初创期,医疗健康,9059,加丁（北京）科技有限公司
运营中,碉堡资讯是一个主打搞笑内容和段子的移动阅读APP，深圳铁犁信息技术有限公司旗下产品。,True,广东,综合文化娱乐,http://www.diaobao.la,搞笑经济,2013年11月,初创期,文化娱乐体育,9060,深圳铁犁信息技术有限公司
运营中,嘀嗒团是一个团购网站和本地生活服务网站，2013年初嘀嗒团和维络城完成合并，隶属于北京今日都市信息技术有限公司。,True,北京,美食餐饮,http://www.didatuan.com,团购,2010年7月,初创期,本地生活,9061,北京今日都市信息技术有限公司
运营中,当贝市场是一个关于智能电视应用的第三方应用商店，杭州当贝网络科技有限公司开发，旗下还有智能电视网（ZNDS网）等。,True,浙江,应用分发和渠道,http://www.dangbei.com,智能电视,2014年1月,初创期,移动互联网,9062,杭州当贝网络科技有限公司
运营中,智能电视网是一个主打智能电视的垂直门户网站，提供产品、测评、应用市场等，隶属于杭州当贝网络科技有限公司。,True,浙江,智能家居,http://www.znds.com/,垂直社区,2013年9月,初创期,硬件,9063,杭州当贝网络科技有限公司
运营中,佰客易游网络（BkrTrip）是一个旅游行业云办公、云服务(SaaS)平台，提供旅游行业信息咨询、企业办公、业务拓展管理、行业内实时资金结算等服务。陕西佰客易游网络科技有限公司旗下产品。,True,陕西,旅游综合服务,http://www.bkrtrip.com,CRM,2013年5月,初创期,旅游,9064,陕西佰客易游网络科技有限公司
运营中,一呼ehoo.biz是一个通过微信、微博等社交网络进行人际传播的工具，鼓励朋友间相互证言、分享有价值的产品和服务，并享有朋友带来的专属优惠和特权。南京呼呼啦网络科技有限公司旗下产品。,True,江苏,整合营销传播,https://www.ehoo.biz,社会化营销,2014年3月,初创期,广告营销,9065,南京呼呼啦网络科技有限公司
运营中,一呼ehoo.biz是一个通过微信、微博等社交网络进行人际传播的工具，鼓励朋友间相互证言、分享有价值的产品和服务，并享有朋友带来的专属优惠和特权。南京呼呼啦网络科技有限公司旗下产品。,False,江苏,整合营销传播,https://www.ehoo.biz,社会化营销,2014年3月,初创期,广告营销,9066,南京呼呼啦网络科技有限公司
运营中,e陪伴（易陪伴）是一个面向老人的智能硬件系统，可以帮助子女了解老人的动态、地理位置、 摔倒提醒和报警等，北京优伴科技旗下产品。,True,北京,电子数码,http://www.epeiban.com,可穿戴设备,2014年3月,初创期,硬件,9067,北京优伴科技有限公司
运营中,AutoBot智能迹录仪是一个汽车领域的智能穿戴设备和车载设备，可以修正驾驶习惯、降低行车油耗、精准记录车辆状况以及你和爱车走过的每一条路，AutoBot团队开发（微格互动内部团队）。,True,北京,车联网及硬件,http://www.vgoapp.com/,,2014年3月,初创期,汽车交通,9068,北京微格互动科技有限公司
运营中,360珠宝卫士，珠宝玉石鉴定证书在线真伪查询平台，广西南宁掌中宝科技有限公司旗下产品。,True,广西,实用工具,http://www.360gem.com/,,2013年7月,初创期,工具软件,9069,广西南宁掌中宝科技有限公司
运营中,欢瑞世纪是一家影视内容投资、制作及衍生品服务商，主营业务包括电视剧及电影业务、艺人经纪业务、游戏开发业务、电视剧音乐制作业务。作品有《王的女人》、《宫》、《画皮2》、《宫锁珠帘》等。,True,北京,影视,http://www.hrcp.cn,,2006年9月,成长发展期,文化娱乐体育,9070,欢瑞世纪影视传媒股份有限公司
运营中,欢瑞世纪是一家影视内容投资、制作及衍生品服务商，主营业务包括电视剧及电影业务、艺人经纪业务、游戏开发业务、电视剧音乐制作业务。作品有《王的女人》、《宫》、《画皮2》、《宫锁珠帘》等。,False,北京,影视,http://www.hrcp.cn,,2006年9月,成长发展期,文化娱乐体育,9071,欢瑞世纪影视传媒股份有限公司
运营中,汇金科技是一家金融安防电子信息科技产品研发和生产公司，是目前国内第三大国产中间件供应商，其核心产品为IDP系列中间件和以此为基础开发的行业应用软件，主要应用于以银行为主的金融行业、安全生产与应急等领域。,True,广东,企业IT服务,http://www.sgsg.cc,中间件,2005年1月,成长发展期,企业服务,9072,珠海汇金科技股份有限公司
运营中,基美耀拍APP，是一款基于图像识别技术的手机客户端应用程序，用户通过扫描地铁内LED的特定图片，实现各类礼品优惠的赠送。目前主要可以刷各种即将上映电影的影票。由基美传媒打造。,True,上海,综合工具软件,https://itunes.apple.com/cn/app/ji-mei-yao-pai-jin-tian-ni/id693958507?mt=8,图片图像识别,2013年9月,初创期,工具软件,9073,上海基美文化传媒股份有限公司
运营中,极梦网是一个留学、实习服务网站，通过采集出国留学项目成功申请者的背景信息，将这些数据进行处理，以data visualization的方式呈现，基于这些数据为用户做智能定位、项目推荐等。武汉尚校园网络科技有限公司旗下网站。,True,湖北,出国留学,http://geedream.com,招聘,2014年1月,初创期,教育,9074,武汉尚校园网络科技有限公司
运营中,极梦网是一个留学、实习服务网站，通过采集出国留学项目成功申请者的背景信息，将这些数据进行处理，以data visualization的方式呈现，基于这些数据为用户做智能定位、项目推荐等。武汉尚校园网络科技有限公司旗下网站。,False,湖北,出国留学,http://geedream.com,招聘,2014年1月,初创期,教育,9075,武汉尚校园网络科技有限公司
运营中,上海宽惠网络科技是一家互联网网络解决方案服务商，提供服务器、托管等服务，覆盖中国电信、中国新联通、中国移动三大运营商以及中国教育科研网、上海科技网等资源。,True,上海,企业IT服务,http://www.khdatasolutions.com,IT基础设施,2010年5月,成长发展期,企业服务,9076,上海宽惠网络科技有限公司
运营中,上海宽惠网络科技是一家互联网网络解决方案服务商，提供服务器、托管等服务，覆盖中国电信、中国新联通、中国移动三大运营商以及中国教育科研网、上海科技网等资源。,False,上海,企业IT服务,http://www.khdatasolutions.com,IT基础设施,2010年5月,成长发展期,企业服务,9077,上海宽惠网络科技有限公司
运营中,上海宽惠网络科技是一家互联网网络解决方案服务商，提供服务器、托管等服务，覆盖中国电信、中国新联通、中国移动三大运营商以及中国教育科研网、上海科技网等资源。,False,上海,企业IT服务,http://www.khdatasolutions.com,IT基础设施,2010年5月,成长发展期,企业服务,9078,上海宽惠网络科技有限公司
运营中,鑫合汇是一个在线借贷和融资服务网站，其前身叫：云融资，中新力合股份有限公司（UPG）旗下产品。,True,浙江,贷款,https://www.xinhehui.com/,P2P借贷,2014年2月,初创期,金融,9079,中新力合股份有限公司
运营中,鑫合汇是一个在线借贷和融资服务网站，其前身叫：云融资，中新力合股份有限公司（UPG）旗下产品。,False,浙江,贷款,https://www.xinhehui.com/,P2P借贷,2014年2月,初创期,金融,9080,中新力合股份有限公司
运营中,Leho乐货（前身是：爱乐活）是一个主打小时尚和潮品乐货的电商网站，隶属于乐活在线（北京）网络技术有限公司。,True,北京,综合电商,http://www.leho.com,时尚,2014年3月,初创期,电子商务,9081,乐活在线（北京）网络技术有限公司
运营中,达内科技是一家IT培训与人才服务企业，提供中高端IT人才实训、IT人才输送、教育平台建设、软件研发等综合服务。,True,北京,职业培训,http://www.tarena.com.cn,,2002年9月,上市公司,教育,9082,达内时代科技集团有限公司
运营中,爱康国宾是一家主打体检的健康管理公司，为个人及团体提供从体检、检测、医疗、家庭医生、慢病管理、健康保险等全方位个性化服务，由爱康网和上海国宾健检联合组建。,True,北京,健康管理,http://www.ikang.com,体检,2004年2月,上市公司,医疗健康,9083,北京爱康在线科技有限公司
运营中,AI.FRAME是一家人形机器人制造商，产品是一种多自由度、由微型舵机控制的类人形机器人，不仅能完成诸如跑跳、舞蹈等动作，更能进行群体互动例如踢球、摔跤搏击等。,True,广东,机器人,http://aiframe.me,,2014年1月,初创期,硬件,9084,
运营中,武汉灏信是一家征信、信用信息服务商，主要为电商平台提供供应商资质审质认证及质量认证服务。,True,湖北,信用及征信,http://www.haotion.com,数据服务,2011年9月,初创期,金融,9085,武汉灏信信息技术服务有限公司
运营中,北京江南天安科技是一家面向企业的信息安全服务提供商，提供安全体系建设、安全解决方案、国产密码产品、PKI/CA应用安全、金融IC卡应用安全、安全产品集成等服务。,True,北京,企业IT服务,http://www.tass.com.cn,安全,2005年2月,成长发展期,企业服务,9086,北京江南天安科技有限公司
运营中,福州瑞芯微电子（RockChip）是一家移动互联网及数字多媒体芯片设计、集成电路服务商，目前产品涵盖Android平板电脑、Android电视机顶盒（智能电视）、电子书、WIFI/蓝牙音频解决方案等。,True,福建,芯片半导体,http://www.rock-chips.com,,2001年1月,成长发展期,硬件,9087,福州瑞芯微电子有限公司
运营中,客赞网是一个主打当地人社交旅游的服务网站，通过网站对接旅游者和当地人，提供个性化的旅游体验，隶属于桂林城世网络科技有限公司。,True,广西,交通住宿,http://www.coolzan.com,导游,2013年12月,初创期,旅游,9088,桂林城世网络科技有限公司
运营中,客赞网是一个主打当地人社交旅游的服务网站，通过网站对接旅游者和当地人，提供个性化的旅游体验，隶属于桂林城世网络科技有限公司。,False,广西,交通住宿,http://www.coolzan.com,导游,2013年12月,初创期,旅游,9089,桂林城世网络科技有限公司
运营中,坐井是一个关注互联网创业的科技媒体，隶属于北京创业旅科技有限公司。,True,北京,媒体,http://www.zuojing.com,创业服务,2013年7月,初创期,文化娱乐体育,9090,北京创业旅科技有限公司
运营中,多萌工作室（Kiddom Studio）是一家主打幼儿教育应用和儿童游戏的移动开发商，产品有《宝贝穿啥呀》等。,True,北京,儿童早教,http://www.kiddomstudio.com,,2013年10月,初创期,教育,9091,多萌工作室
运营中,武汉领普科技（LinpTech）是一家智能家居服务商，致力于提供基于能量收集技术的智能家居/智能楼宇的产品、基础模块和解决方案，产品包括LinBell G1无线无源门铃等。,True,湖北,智能家居,http://www.linptech.com,物联网,2009年1月,初创期,硬件,9092,武汉领普科技有限公司
运营中,微动互联是一个移动营销方案提供商，利用经营场所的免费WIFI作为网络入口，进行移动互联网营销和业务运营，以及移动广告运营。,True,湖南,整合营销传播,http://www.wedofi.com,WiFi,2014年2月,初创期,广告营销,9093,长沙微动互联信息技术有限公司
运营中,微动互联是一个移动营销方案提供商，利用经营场所的免费WIFI作为网络入口，进行移动互联网营销和业务运营，以及移动广告运营。,False,湖南,整合营销传播,http://www.wedofi.com,WiFi,2014年2月,初创期,广告营销,9094,长沙微动互联信息技术有限公司
运营中,免商店前身是蜗牛商店，致力于为广大手游用户提供免费流量下载、畅玩不同主题与类型的手机游戏。,True,江苏,游戏发行及渠道,http://app.snail.com,,2014年3月,成长发展期,游戏,9095,苏州蜗牛数字科技股份有限公司
